image_dim_X,image_dim_Y,image_dim_Z
608,763,4
1200,900,3
526,499,3
480,480,3
1136,962,3
718,960,3
720,720,3
347,499,3
3117,2282,3
500,793,3
588,548,4
356,400,3
640,600,3
485,605,4
378,381,3
454,539,3
583,583,3
808,677,3
446,480,3
918,883,3
637,640,3
843,844,3
960,640,3
981,1440,3
1627,770,4
313,557,3
959,663,3
480,480,3
1200,731,3
640,432,3
960,784,3
648,600,3
750,750,4
389,599,3
601,600,3
550,550,3
413,469,3
458,565,3
551,526,3
1215,1080,4
960,960,3
466,940,4
1334,750,3
220,500,3
1102,894,4
1280,720,3
2099,1181,3
600,400,4
95,857,3
411,667,3
549,960,3
1434,1434,4
4240,2387,3
529,617,3
397,604,4
300,600,3
600,555,3
545,750,3
528,600,3
480,480,3
838,750,3
358,629,3
339,643,3
277,530,3
2048,2048,3
640,450,3
1236,1240,4
437,610,4
782,1142,3
175,648,3
960,960,3
396,400,4
390,730,3
518,750,3
316,294,3
556,382,4
320,640,3
768,640,3
759,759,3
388,1311,3
469,490,3
1308,1080,3
960,1344,3
1110,1079,4
693,680,3
2167,3853,3
1926,2735,3
437,559,3
640,640,3
467,400,3
444,780,3
211,768,3
888,1088,4
197,941,3
1802,1427,3
1162,1000,4
928,640,3
500,500,3
392,550,3
2208,1242,3
3022,4032,3
242,557,4
457,610,4
669,750,3
853,1280,4
308,340,3
406,610,4
320,540,3
235,400,3
598,1244,4
637,1065,3
800,1600,4
657,502,3
1795,1414,3
545,550,4
288,736,3
470,480,3
640,640,3
480,480,3
807,610,4
440,445,4
338,509,4
457,454,3
960,960,3
1296,2304,3
1017,1000,3
1200,675,3
960,784,3
310,708,4
562,475,4
535,750,3
509,500,3
417,594,3
619,725,3
714,836,3
2560,1440,3
610,500,4
463,720,3
815,1080,3
359,660,4
960,889,3
345,480,3
439,600,3
350,500,4
720,720,3
903,652,3
1087,1625,3
1875,1421,3
960,640,3
540,540,3
576,1024,3
416,423,4
604,489,3
667,451,3
1229,1327,3
750,750,3
541,600,4
58,1358,3
3264,2448,3
809,1439,4
350,462,3
2448,2448,3
354,463,3
819,727,3
961,1022,3
800,1000,4
2160,2160,3
714,623,3
1326,1080,4
635,1284,3
490,736,3
960,528,3
574,624,4
850,736,3
480,620,3
502,1000,3
569,759,3
412,787,3
1180,1439,3
221,721,3
560,720,3
507,800,3
461,609,4
718,1000,3
1264,1080,3
692,539,3
3984,2988,3
288,512,4
249,1051,3
479,493,3
741,671,4
804,750,3
744,745,4
552,818,3
636,683,4
235,628,4
138,526,4
475,760,4
461,540,4
2188,1435,3
886,709,3
610,610,4
983,750,3
698,715,3
567,559,3
540,540,3
500,462,4
488,511,3
529,729,3
1362,2048,3
768,500,3
960,960,3
943,903,4
960,768,3
382,487,3
72,834,4
4128,2322,3
504,500,3
350,500,4
1511,279,3
378,672,3
721,721,3
317,300,3
540,760,4
520,1562,3
2024,2768,4
365,550,4
808,2166,4
1678,1242,3
433,770,3
468,622,3
371,500,3
640,640,3
681,718,3
416,500,3
800,800,3
326,236,3
519,655,3
474,800,3
656,960,3
554,396,3
807,750,3
651,972,3
2448,3264,3
640,960,3
810,1440,4
217,559,3
529,660,3
515,500,3
2560,1440,4
1653,2048,3
500,500,3
458,565,3
960,960,3
1200,675,3
1052,744,4
540,960,3
432,720,4
129,1364,4
389,389,3
200,304,3
856,1200,3
919,1200,3
2560,1440,4
650,650,3
751,750,3
642,750,3
467,610,4
469,640,3
455,680,3
727,497,3
526,526,3
852,610,3
665,700,4
314,561,4
1050,1680,3
399,720,3
750,1334,3
722,697,4
450,400,3
194,259,3
540,540,3
927,960,3
433,720,3
576,599,3
650,650,3
393,388,3
699,623,3
960,784,3
542,497,4
601,480,3
601,640,3
118,334,3
329,610,4
816,1615,3
507,625,3
440,526,4
1992,3482,3
480,449,3
731,749,3
711,1200,3
619,640,3
607,562,3
926,1200,3
446,500,3
720,471,3
628,509,4
3000,8104,3
553,829,3
640,960,3
463,700,3
1024,994,3
1920,1080,3
720,720,3
555,720,3
720,508,4
1000,1000,3
467,478,4
688,720,3
393,825,4
335,421,3
571,480,3
540,736,3
146,653,4
450,600,3
640,777,3
392,720,3
545,750,3
908,600,3
633,950,3
266,634,4
413,659,4
264,525,4
2028,2364,3
1000,1000,3
600,550,3
740,750,3
609,490,3
935,637,4
960,540,3
542,720,3
1334,753,4
176,884,4
621,640,3
337,599,3
331,600,4
512,259,3
720,540,3
480,460,4
321,300,3
1846,1935,3
424,600,3
425,800,3
401,449,3
463,608,3
128,759,4
640,880,3
750,750,3
464,486,3
371,540,3
803,489,3
788,1389,4
582,593,3
350,500,4
600,600,3
729,1434,3
692,500,3
615,714,4
499,499,3
238,517,3
824,539,4
516,618,3
103,890,3
524,849,4
816,460,3
993,720,4
1920,1080,3
918,1034,3
375,480,3
700,700,3
550,471,3
1386,1412,3
960,539,3
960,678,3
395,316,3
416,500,3
452,509,4
410,779,4
551,822,3
362,648,3
641,640,3
960,960,3
1800,2880,3
467,490,4
765,750,3
750,750,3
133,493,4
389,400,3
343,610,4
984,1000,3
616,720,3
2048,2048,3
693,680,3
1296,1728,3
500,500,3
343,610,4
691,900,3
1920,1080,3
375,560,3
2988,5312,3
1024,1024,4
806,878,3
309,552,3
572,572,3
2092,3718,3
400,600,3
392,480,3
464,486,3
367,552,4
767,551,3
412,614,3
756,1080,3
931,932,3
854,1731,3
960,540,3
480,460,4
540,960,3
961,651,4
798,1100,3
446,750,3
750,750,3
1067,1440,4
960,677,3
400,400,3
960,540,3
768,576,3
606,600,3
541,885,3
960,960,3
521,446,4
720,960,3
460,357,4
737,865,3
578,300,3
497,395,3
632,623,3
561,1621,4
2560,1440,3
191,1048,3
353,540,3
430,593,3
2952,5248,3
720,720,3
656,495,3
567,1466,3
292,664,3
1536,2048,3
769,1024,3
878,1731,3
544,463,4
820,800,3
601,651,3
262,688,3
2208,1242,3
569,800,3
780,1440,4
446,500,3
2385,1440,3
103,424,4
731,497,3
2048,1150,3
843,961,4
2048,2048,3
1326,1440,3
548,566,4
613,750,3
497,490,3
310,480,3
589,1004,3
1393,1439,3
361,610,4
598,602,3
915,1563,3
1184,960,4
526,296,3
1385,1080,3
1026,901,3
915,915,3
960,842,3
715,1080,3
149,839,4
1160,1920,3
712,716,3
343,610,4
354,610,4
773,737,4
461,500,3
733,750,3
1740,1439,3
665,615,3
796,887,4
840,1200,3
712,454,4
378,528,3
545,883,3
225,757,4
1080,1920,3
349,620,3
601,583,3
730,720,3
288,512,4
900,700,3
3264,2448,3
770,500,4
500,261,4
334,476,3
1017,1000,3
394,314,3
768,1024,3
500,667,3
478,480,3
872,1440,3
640,640,3
386,736,3
164,540,3
254,961,3
295,521,3
243,766,4
3456,1946,3
1200,1106,3
261,600,3
685,750,3
1024,576,3
631,583,3
682,1024,4
288,512,4
3936,5248,3
800,800,3
1226,718,3
675,1200,3
387,645,4
317,375,3
570,570,3
321,500,4
263,308,3
1478,1264,4
1024,576,3
532,535,3
371,500,3
476,480,3
403,302,3
599,577,3
695,696,4
633,634,4
400,400,3
555,555,3
698,998,4
480,480,3
735,490,3
1275,1650,3
281,500,4
536,640,3
649,640,3
1074,944,3
650,650,3
320,640,3
505,702,3
440,672,3
536,552,3
493,500,3
458,377,4
607,500,4
1440,2560,3
1516,1439,4
404,610,4
596,1216,3
147,492,3
475,809,3
321,964,4
312,631,3
918,960,3
2539,1902,3
80,369,4
450,600,3
352,853,3
372,576,3
830,960,3
2560,1440,3
750,643,3
4032,3024,3
769,800,3
580,597,3
1502,1426,3
3264,2448,3
753,1432,4
161,562,4
664,1439,4
504,517,3
369,403,3
743,495,3
960,528,3
447,576,3
263,500,3
420,625,3
748,749,3
960,960,3
2560,1440,3
523,750,3
475,760,4
548,976,3
657,480,3
1176,1080,4
316,934,4
422,595,4
598,1063,3
2392,1440,4
451,600,3
414,736,3
933,1244,3
535,904,3
337,599,3
2160,3840,3
426,426,4
350,540,3
747,675,4
640,1137,3
869,600,3
580,589,4
3776,1680,3
734,750,3
1022,1120,4
100,434,4
480,480,3
1200,900,3
365,480,3
600,400,4
1115,1200,3
504,960,3
709,500,4
398,621,3
1024,768,3
728,1100,3
770,1242,3
428,1910,3
1097,1076,4
1920,1080,3
960,960,3
960,710,3
357,498,3
576,523,4
530,640,3
726,480,3
562,475,4
467,610,4
560,1337,3
424,786,3
1936,1936,3
302,1379,4
1334,750,3
474,720,3
814,347,4
800,480,3
238,484,4
958,960,3
351,585,4
975,1400,3
716,513,4
425,600,3
386,619,3
938,749,3
2417,1440,3
1080,1920,3
2560,1440,3
1200,675,3
5312,2988,3
300,450,3
1080,1920,3
2560,1440,3
539,750,3
1190,1190,3
874,600,3
1853,1080,3
359,469,3
960,960,3
605,1200,3
259,480,3
4160,2340,3
860,640,3
797,425,3
1849,1440,3
526,1229,3
247,1361,4
501,501,4
1074,1073,3
402,597,4
612,853,4
1024,576,3
960,1000,3
395,395,3
780,485,3
960,960,3
500,504,3
940,1440,3
432,640,3
562,475,4
720,960,3
269,478,4
1920,1080,3
909,610,4
404,717,4
919,750,3
330,610,4
2560,1440,3
321,500,4
752,501,3
480,460,4
2160,1440,3
1466,1440,3
440,526,4
381,371,3
488,512,4
489,891,3
1200,675,3
864,879,3
500,651,3
398,541,3
481,651,4
303,511,3
582,842,3
2988,5312,3
367,620,3
343,610,4
749,1000,3
1920,1080,3
1650,1275,4
620,640,3
436,444,3
506,336,3
809,960,3
418,508,3
364,960,3
448,585,4
743,523,3
